Start Time (UTC),End Time (UTC),Duration (min),Min (km),Max (km),Conjunction Type,Conjunction Between,asi_array_and_id,asi_array,asi
2021-09-07 05:49:00,2021-09-07 05:51:00,3,161,488,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-09-07 05:50:00,2021-09-07 05:51:00,2,389,426,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2021-09-07 05:52:00,2021-09-07 05:53:00,2,150,371,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2021-09-07 05:53:00,2021-09-07 05:54:00,2,286,423,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-09-07 05:54:00,2021-09-07 05:55:00,2,301,341,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-09-08 05:12:00,2021-09-08 05:12:00,1,329,329,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-09-12 05:27:00,2021-09-12 05:29:00,3,95,453,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2021-09-12 05:29:00,2021-09-12 05:30:00,2,169,280,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-09-12 05:30:00,2021-09-12 05:30:00,1,447,447,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-09-21 05:09:00,2021-09-21 05:10:00,2,163,346,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2021-09-21 05:10:00,2021-09-21 05:11:00,2,89,344,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-09-21 05:12:00,2021-09-21 05:12:00,1,494,494,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2021-09-21 05:20:00,2021-09-21 05:21:00,2,199,297,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2021-09-21 05:21:00,2021-09-21 05:22:00,2,268,486,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-09-21 05:22:00,2021-09-21 05:23:00,2,290,357,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-09-28 04:48:00,2021-09-28 04:49:00,2,226,443,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2021-09-28 04:49:00,2021-09-28 04:50:00,2,148,279,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-09-28 05:02:00,2021-09-28 05:04:00,3,103,444,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2021-09-28 05:04:00,2021-09-28 05:05:00,2,303,342,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-09-28 05:05:00,2021-09-28 05:06:00,2,283,418,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-09-29 04:22:00,2021-09-29 04:23:00,2,377,471,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-10-05 04:26:00,2021-10-05 04:28:00,3,144,472,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-10-05 04:45:00,2021-10-05 04:47:00,3,203,486,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-10-05 04:46:00,2021-10-05 04:47:00,2,344,401,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-10-10 03:57:00,2021-10-10 03:57:00,1,427,427,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-10-10 04:18:00,2021-10-10 04:19:00,2,162,265,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-10-12 04:03:00,2021-10-12 04:04:00,2,265,473,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
